Date,Open,High,Low,Close,Adj Close,Volume
2023-07-26,1255.000000,1260.000000,1230.000000,1235.000000,1173.250000,13115900
2023-07-27,1235.000000,1250.000000,1205.000000,1210.000000,1149.500000,16324700
2023-07-28,1210.000000,1230.000000,1200.000000,1205.000000,1144.750000,7513300
2023-07-31,1205.000000,1245.000000,1200.000000,1210.000000,1149.500000,31797600
2023-08-01,1225.000000,1250.000000,1200.000000,1210.000000,1149.500000,17103700
2023-08-02,1210.000000,1215.000000,1160.000000,1210.000000,1149.500000,19844700
2023-08-03,1215.000000,1215.000000,1190.000000,1205.000000,1144.750000,7285600
2023-08-04,1210.000000,1230.000000,1200.000000,1210.000000,1149.500000,16173400
2023-08-07,1215.000000,1275.000000,1210.000000,1260.000000,1197.000000,26005400
2023-08-08,1260.000000,1275.000000,1235.000000,1255.000000,1192.250000,9501900
2023-08-09,1260.000000,1265.000000,1240.000000,1245.000000,1182.750000,5185600
2023-08-10,1250.000000,1250.000000,1230.000000,1240.000000,1178.000000,6512700
2023-08-11,1240.000000,1255.000000,1230.000000,1235.000000,1173.250000,4505100
2023-08-14,1235.000000,1240.000000,1210.000000,1225.000000,1163.750000,6367700
2023-08-15,1225.000000,1240.000000,1195.000000,1200.000000,1140.000000,20657100
2023-08-16,1200.000000,1205.000000,1185.000000,1200.000000,1140.000000,10340900
2023-08-18,1200.000000,1210.000000,1180.000000,1180.000000,1121.000000,7595900
2023-08-21,1180.000000,1185.000000,1150.000000,1150.000000,1092.500000,14354800
2023-08-22,1150.000000,1175.000000,1125.000000,1155.000000,1097.250000,14776500
2023-08-23,1160.000000,1180.000000,1150.000000,1175.000000,1116.250000,7122800
2023-08-24,1175.000000,1180.000000,1150.000000,1160.000000,1102.000000,5980700
2023-08-25,1160.000000,1165.000000,1125.000000,1130.000000,1073.500000,12446800
2023-08-28,1140.000000,1145.000000,1130.000000,1135.000000,1078.250000,2922200
2023-08-29,1135.000000,1145.000000,1120.000000,1135.000000,1078.250000,7123400
2023-08-30,1140.000000,1145.000000,1120.000000,1125.000000,1068.750000,5253300
2023-08-31,1125.000000,1135.000000,1110.000000,1120.000000,1064.000000,8714200
2023-09-01,1120.000000,1155.000000,1120.000000,1145.000000,1087.750000,6501200
2023-09-04,1150.000000,1150.000000,1120.000000,1135.000000,1078.250000,5945800
2023-09-05,1135.000000,1145.000000,1115.000000,1120.000000,1064.000000,9294600
2023-09-06,1125.000000,1125.000000,1105.000000,1115.000000,1059.250000,7048400
2023-09-07,1115.000000,1120.000000,1085.000000,1090.000000,1035.500000,12916900
2023-09-08,1090.000000,1120.000000,1085.000000,1100.000000,1045.000000,7086300
2023-09-11,1100.000000,1130.000000,1100.000000,1130.000000,1073.500000,3264700
2023-09-12,1130.000000,1130.000000,1100.000000,1105.000000,1049.750000,6267000
2023-09-13,1105.000000,1130.000000,1105.000000,1115.000000,1059.250000,3696600
2023-09-14,1115.000000,1120.000000,1100.000000,1105.000000,1049.750000,2965900
2023-09-15,1110.000000,1130.000000,1100.000000,1120.000000,1064.000000,4828900
